1,2,3,4,5,6,7,8,9
Chinstrap,AITC,-59.7517,-62.4071,2008,21,0.308,5620,0.02
Chinstrap,AITC,-59.7517,-62.4071,2011,167.78,-0.415,4047,-0.0933
Chinstrap,ARDL,-58.933,-62.213,2014,3,0.063,15,-0.0262
Chinstrap,BAIL,-60.506,-62.965,2011,2.019,-0.415,50408,-0.1233
Chinstrap,BRIT,-55.213,-61.278,2016,0,0.965,2869,-0.0102
Chinstrap,COBA,-61.6499,-64.1795,2011,7,-0.415,457,-0.0095
Chinstrap,CUVE,-62.626,-64.684,2003,0,0.475,0,-0.0313
Chinstrap,CUVE,-62.626,-64.684,2005,0,-0.222,0,0
Chinstrap,CUVE,-62.626,-64.684,2009,0,-0.942,0,0
Chinstrap,CUVE,-62.626,-64.684,2011,0,-0.415,1,0
Chinstrap,CUVE,-62.626,-64.684,2015,3048.356,1.77,0,-0.25
Chinstrap,DEEI,-59.7836,-62.4229,2010,1253.403,2.695,0,0
Chinstrap,DELA,-62.1881,-64.5643,2016,12052.796,0.965,108,-0.0333
Chinstrap,DREA,-64.2256,-64.7254,1985,0,0.899,136,0.2477
Chinstrap,DUPT,-62.8179,-64.8049,2011,0,-0.415,21,0.1667
Chinstrap,DUPT,-62.8179,-64.8049,2013,0,-0.627,22,0.0238
Chinstrap,ECKE,-61.6042,-64.4309,2011,0,-0.415,41,0.0733
Chinstrap,ENTR,-60.5533,-62.9981,2006,565.206,-0.034,902,0.5936
Chinstrap,ENTR,-60.5533,-62.9981,2011,2.019,-0.415,551,-0.0778
Chinstrap,ENTR,-60.5533,-62.9981,2012,112.357,1.453,696,0.2632
Chinstrap,ENTR,-60.5533,-62.9981,2013,0,-0.627,726,0.0431
Chinstrap,ENTR,-60.5533,-62.9981,2014,604.078,0.063,545,-0.2493
Chinstrap,ENTR,-60.5533,-62.9981,2016,31.322,0.965,986,0.2667
Chinstrap,FORT,-59.58,-62.542,2011,15,-0.415,983,0.0127
Chinstrap,FORT,-59.58,-62.542,2014,0,0.063,1054,0.0241
Chinstrap,FORT,-59.58,-62.542,2016,410.985,0.965,1451,0.1883
Chinstrap,GAST,-61.827,-64.4848,2010,0,2.695,353,-0.0039
Chinstrap,GAST,-61.827,-64.4848,2012,5777.608,1.453,225,-0.1813
Chinstrap,GEOR,-62.6696,-64.6694,1997,0,-0.023,397,0.0366
Chinstrap,GEOR,-62.6696,-64.6694,1998,0,2.482,327,-0.1763
Chinstrap,GEOR,-62.6696,-64.6694,2004,0,0.613,269,-0.0296
Chinstrap,GEOR,-62.6696,-64.6694,2005,0,-0.222,246,-0.0855
Chinstrap,GEOR,-62.6696,-64.6694,2006,0,-0.034,260,0.0569
Chinstrap,GEOR,-62.6696,-64.6694,2008,0,0.308,256,-0.0077
Chinstrap,GEOR,-62.6696,-64.6694,2010,0,2.695,139,-0.2285
Chinstrap,GEOR,-62.6696,-64.6694,2011,0,-0.415,193,0.3885
