YEAR,PROJECT,SPECIES,MEAN_CID,,# This is just info necessary to fill out age info based on mean CID. 
1981-82,COPA,ADPE,10/29/1981,,# But potentially useful in its own right if CID (mean for each year/site/species) becomes necessary
1982-83,COPA,ADPE,10/27/1982,,
1984-85,COPA,ADPE,10/29/1984,,
1986-87,COPA,ADPE,10/28/1986,,
1987-88,COPA,ADPE,10/31/1987,,
1988-89,COPA,ADPE,10/28/1988,,
1989-90,COPA,ADPE,10/28/1989,,
1990-91,COPA,ADPE,11/2/1990,,
1991-92,COPA,ADPE,11/5/1991,,
1992-93,COPA,ADPE,11/1/1992,,
1993-94,COPA,ADPE,10/28/1993,,
1994-95,COPA,ADPE,11/7/1994,,
1995-96,COPA,ADPE,10/29/1995,,
1996-97,COPA,ADPE,10/28/1996,,
1997-98,COPA,ADPE,10/30/1997,,
1998-99,COPA,ADPE,10/29/1998,,
1999-00,COPA,ADPE,11/1/1999,,
2000-01,COPA,ADPE,10/30/2000,,
2001-02,COPA,ADPE,10/26/2001,,
2002-03,COPA,ADPE,11/3/2002,,
2003-04,COPA,ADPE,10/30/2003,,
2004-05,COPA,ADPE,10/28/2004,,
2005-06,COPA,ADPE,10/27/2005,,
2006-07,COPA,ADPE,10/27/2006,,
2007-08,COPA,ADPE,11/3/2007,,
2008-09,COPA,ADPE,10/26/2008,,
2009-10,COPA,ADPE,11/4/2009,,
2010-11,COPA,ADPE,10/28/2010,,
2011-12,COPA,ADPE,10/28/2011,,
2012-13,COPA,ADPE,11/6/2012,,
2014-15,COPA,ADPE,11/1/2014,,
2015-16,COPA,ADPE,11/1/2015,,
1997-98,COPA,GEPE,11/4/1997,,
1998-99,COPA,GEPE,11/1/1998,,
1999-00,COPA,GEPE,11/4/1999,,
2000-01,COPA,GEPE,11/2/2000,,
2001-02,COPA,GEPE,10/27/2001,,
2002-03,COPA,GEPE,11/14/2002,,
2003-04,COPA,GEPE,11/1/2003,,
2004-05,COPA,GEPE,11/1/2004,,
2005-06,COPA,GEPE,10/26/2005,,
2006-07,COPA,GEPE,10/31/2006,,
2007-08,COPA,GEPE,11/23/2007,,
2008-09,COPA,GEPE,10/16/2008,,
2009-10,COPA,GEPE,11/25/2009,,
2010-11,COPA,GEPE,10/24/2010,,
2011-12,COPA,GEPE,10/28/2011,,
2012-13,COPA,GEPE,11/15/2012,,
2014-15,COPA,GEPE,11/12/2014,,
2015-16,COPA,GEPE,11/7/2015,,
1997-98,CS,CHPE,11/24/1997,,
1998-99,CS,CHPE,11/20/1998,,
1999-00,CS,CHPE,11/20/1999,,
2000-01,CS,CHPE,11/20/2000,,
2001-02,CS,CHPE,11/20/2001,,
2002-03,CS,CHPE,11/25/2002,,
2003-04,CS,CHPE,11/22/2003,,
2004-05,CS,CHPE,11/24/2004,,
2005-06,CS,CHPE,11/18/2005,,
2006-07,CS,CHPE,11/16/2006,,
2007-08,CS,CHPE,11/24/2007,,
2008-09,CS,CHPE,11/20/2008,,
2009-10,CS,CHPE,11/23/2009,,
2010-11,CS,CHPE,11/18/2010,,
2011-12,CS,CHPE,11/21/2011,,
2012-13,CS,CHPE,11/25/2012,,
2013-14,CS,CHPE,11/24/2013,,
2014-15,CS,CHPE,11/27/2014,,
2015-16,CS,CHPE,11/25/2015,,
1998-99,CS,GEPE,11/21/1998,,
1999-00,CS,GEPE,11/16/1999,,
2000-01,CS,GEPE,11/16/2000,,
2001-02,CS,GEPE,11/6/2001,,
2002-03,CS,GEPE,11/24/2002,,
2003-04,CS,GEPE,11/25/2003,,
2004-05,CS,GEPE,11/21/2004,,
2005-06,CS,GEPE,11/10/2005,,
2006-07,CS,GEPE,11/4/2006,,
2007-08,CS,GEPE,12/3/2007,,
2008-09,CS,GEPE,11/5/2008,,
2009-10,CS,GEPE,11/26/2009,,
2010-11,CS,GEPE,11/11/2010,,
2011-12,CS,GEPE,11/17/2011,,
2012-13,CS,GEPE,11/28/2012,,
2013-14,CS,GEPE,11/21/2013,,
2014-15,CS,GEPE,11/30/2014,,
2015-16,CS,GEPE,11/19/2015,,
