Year,Adelie,Chinstrap,Gentoo,Location
1978,40.75,42.5,44.75,AB
1982,42.5,44.5,44,AB
1983,44.05,41,43.5,AB
1988,,49.75,,AB
1994,39.5,40.75,42.5,AB
1995,42.25,45.5,45.5,AB
1996,44,45.5,47.5,AB
1997,40,43.5,45.5,AB
1998,35.5,36,36.75,AB
1999,40.25,44,45.5,AB
2000,44.75,47.75,48.5,AB
2001,49,49.5,,AB
2002,36.75,37.75,41.25,AB
2003,39.5,39.5,39.5,AB
2004,43,45,45.25,AB
2005,44.25,46,45.75,AB
1998,,38.5,40.3,CS
1999,,43.75,45.5,CS
2000,,47.5,48.25,CS
2001,,50.5,51.8,CS
2002,,43.5,47.5,CS
2003,,38.3,42.3,CS
2004,,41.5,47.25,CS
2005,,48,48.5,CS
